customer_id,name,region,plan_type,unpaid_invoices,total_tickets,is_churn_risk
CUST0087,Rita Keith,East,Prepaid,2,4,t
CUST0031,Pamela Romero,South,Postpaid,1,0,t
CUST0067,James Powers,South,Prepaid,1,3,t
CUST0048,Matthew Gomez,north,Prepaid,3,0,t
CUST0039,Joseph Obrien,West,Prepaid,2,10,t
CUST0032,Elizabeth Fowler,north,Postpaid,2,0,t
CUST0029,Nicole Mack,East,Postpaid,6,12,t
CUST0014,Holly Wood,East,Prepaid,2,0,t
CUST0028,Alexandra Le,South,Prepaid,2,0,t
CUST0091,Courtney Velasquez,South,Prepaid,4,12,t
CUST0001,Allison Hill,North,Postpaid,2,0,t
CUST0024,Daniel Bright,North,Prepaid,4,12,t
CUST0016,Carolyn Daniel,West,Postpaid,1,0,t
CUST0059,Brittney Phillips,West,Postpaid,0,0,f
CUST0011,Lisa Hensley,South,Postpaid,0,3,t
CUST0052,Joel Baxter,South,Prepaid,0,0,f
CUST0036,David Bradley,East,Prepaid,0,9,t
CUST0081,Tony Vazquez,South,Postpaid,0,6,t
CUST0086,Tammy Young,West,Prepaid,0,6,t
CUST0076,Christina Walters,West,Postpaid,2,0,t
CUST0095,Sarah Rivera,East,Postpaid,1,0,t
CUST0061,John Calhoun,North,Prepaid,2,12,t
CUST0008,James Howard,East,Prepaid,0,0,f
CUST0019,Andrew Stewart,East,Prepaid,6,9,t
CUST0096,Wesley White,South,Postpaid,0,0,f
CUST0038,Betty Alvarez,North,Prepaid,0,4,t
CUST0084,Christine Wright,North,Postpaid,3,15,t
CUST0075,Brittney Campbell,South,Prepaid,1,3,t
CUST0044,Amy Jones,West,Postpaid,3,3,t
CUST0072,Joshua Turner,West,Prepaid,1,0,t
CUST0079,Carlos Whitney,North,Prepaid,2,6,t
CUST0049,Nicholas Nunez,North,Postpaid,3,9,t
CUST0035,Sherry Decker,West,Postpaid,3,9,t
CUST0092,Robert Savage,South,Prepaid,8,12,t
CUST0054,Kimberly Smith,North,Prepaid,0,3,t
CUST0025,Peter Callahan Jr.,South,Postpaid,4,10,t
CUST0094,Diana May,North,Postpaid,2,8,t
CUST0066,Taylor Harris,East,Postpaid,2,4,t
CUST0042,David Brown,North,Postpaid,2,5,t
CUST0004,Lance Hoffman,West,Prepaid,2,6,t
CUST0013,Dr. Sharon James,North,Postpaid,3,0,t
CUST0090,Michael Reyes,South,Prepaid,1,1,t
CUST0071,Sherry Wood,East,Postpaid,2,8,t
CUST0015,Mia Sutton,West,Prepaid,3,12,t
CUST0068,Timothy Walls,West,Postpaid,0,0,f
CUST0060,Kimberly Adkins,North,Prepaid,0,8,t
CUST0040,Nicole Vaughn,West,Postpaid,6,21,t
CUST0023,Nicole Patterson,South,Postpaid,0,9,t
CUST0069,Zachary Ferrell,West,Prepaid,0,2,f
CUST0033,James Martin,South,Prepaid,3,3,t
CUST0073,Mary Spencer,North,Postpaid,3,12,t
CUST0063,Barry Hensley,North,Prepaid,6,16,t
CUST0062,Tyler Miller,South,Prepaid,0,9,t
CUST0093,Corey Murphy,South,Prepaid,0,3,t
CUST0002,Brian Yang,South,Prepaid,0,0,f
CUST0027,Julie King,East,Prepaid,1,4,t
CUST0022,Derek Wright,South,Postpaid,2,0,t
CUST0085,Justin Baxter,West,Postpaid,0,3,t
CUST0053,Scott Pierce,North,Postpaid,0,0,f
CUST0021,Jonathan Wilkerson,West,Postpaid,3,0,t
CUST0074,Shawn Baker,East,Prepaid,1,0,t
CUST0082,Sandra Aguilar,West,Postpaid,3,12,t
CUST0080,Kristen Patterson,North,Prepaid,3,9,t
CUST0046,Mr. Nathaniel Khan,South,Prepaid,6,8,t
CUST0097,Kyle Reed,South,Postpaid,3,12,t
CUST0083,Andrew Diaz,North,Postpaid,3,6,t
CUST0077,Danielle Odonnell,South,Postpaid,0,3,t
CUST0047,Richard Aguirre,East,Prepaid,3,3,t
CUST0026,Jennifer Brown,West,Prepaid,2,0,t
CUST0058,Monica Logan,East,Postpaid,2,5,t
CUST0020,Thomas Bradley,North,Postpaid,3,9,t
CUST0005,Jennifer Cole,North,Prepaid,1,4,t
CUST0098,William Wilson,West,Prepaid,4,10,t
CUST0078,Jeff Hill,South,Postpaid,6,12,t
CUST0041,Michael Brooks,East,Prepaid,4,4,t
CUST0030,Jeffrey Chavez,North,Postpaid,4,10,t
CUST0057,Mrs. Rachel Gibson,South,Prepaid,1,4,t
CUST0012,Benjamin Stanley,North,Postpaid,3,6,t
CUST0007,Donald Lewis,West,Postpaid,3,6,t
CUST0037,John Jones,north,Prepaid,0,2,f
CUST0100,Kimberly Ball,North,Prepaid,6,10,t
CUST0056,Dr. Steven Martin,South,Postpaid,2,8,t
CUST0018,Melinda Cameron,North,Prepaid,3,0,t
CUST0070,Katie Anderson,North,Postpaid,1,0,t
CUST0088,Tim Patton,North,Postpaid,2,0,t
CUST0043,Crystal Robinson,East,Postpaid,1,0,t
CUST0089,Sharon Cochran,North,Postpaid,2,6,t
CUST0099,Andrew Graham,North,Prepaid,1,0,t
CUST0064,Steve Sanchez,South,Prepaid,1,3,t
CUST0003,Javier Johnson,North,Prepaid,0,1,f
CUST0050,James Morgan,West,Prepaid,1,1,t
CUST0055,Sarah Martin,South,Postpaid,2,0,t
CUST0051,Connor West,East,Postpaid,6,15,t
CUST0010,Thomas Miller,East,Prepaid,2,8,t
CUST0006,Abigail Shaffer,North,Prepaid,2,6,t
