customer_id,name,region,age,plan_type,signup_date,total_call_minutes,total_data_gb,total_sms,total_revenue,support_tickets
CUST0001,Allison Hill,North,19,Postpaid,2023-06-12,10736.15,383.80,2120.00,1497.24,0
CUST0002,Brian Yang,South,32,Prepaid,2024-10-25,1352.33,27.95,53.00,216.31,0
CUST0003,Javier Johnson,North,61,Prepaid,2023-06-05,918.83,58.99,390.00,185.34,1
CUST0004,Lance Hoffman,West,20,Prepaid,2025-04-05,27229.62,726.48,3588.00,2755.56,2
CUST0005,Jennifer Cole,North,31,Prepaid,2023-09-06,786.92,176.84,304.00,674.43,1
CUST0006,Abigail Shaffer,North,53,Prepaid,2025-06-19,26241.12,607.14,5232.00,5535.50,2
CUST0007,Donald Lewis,West,32,Postpaid,2023-12-05,42176.22,654.18,3048.00,2795.64,3
CUST0008,James Howard,East,69,Prepaid,2023-12-17,15302.04,745.02,2922.00,2612.79,0
CUST0010,Thomas Miller,East,35,Prepaid,2023-09-29,19158.72,562.40,4336.00,2908.14,2
CUST0011,Lisa Hensley,South,66,Postpaid,2024-12-13,784.14,66.03,480.00,377.60,1
CUST0012,Benjamin Stanley,North,23,Postpaid,2023-09-23,35145.84,500.10,3564.00,3442.20,1
CUST0013,Dr. Sharon James,North,40,Postpaid,2024-06-04,33302.32,842.12,3008.00,4310.46,0
CUST0014,Holly Wood,East,69,Prepaid,2023-05-22,35163.84,783.48,6948.00,4114.86,0
CUST0015,Mia Sutton,West,52,Prepaid,2022-10-19,51555.48,1195.08,5736.00,3179.16,3
CUST0016,Carolyn Daniel,West,23,Postpaid,2023-03-11,1339.61,51.16,476.00,203.04,0
CUST0018,Melinda Cameron,North,20,Prepaid,2022-09-25,12927.27,357.24,2451.00,1633.52,0
CUST0019,Andrew Stewart,East,23,Prepaid,2023-08-20,56061.36,1079.91,4284.00,9373.56,3
CUST0020,Thomas Bradley,North,42,Postpaid,2023-11-01,15252.48,541.08,5328.00,5041.26,3
CUST0021,Jonathan Wilkerson,West,58,Postpaid,2025-03-25,29396.95,975.80,4895.00,2803.44,0
CUST0022,Derek Wright,South,41,Postpaid,2024-11-19,11767.20,347.10,2343.00,2361.16,0
CUST0023,Nicole Patterson,South,60,Postpaid,2024-12-23,51380.19,1090.62,8145.00,6390.18,3
CUST0024,Daniel Bright,North,56,Prepaid,2024-08-30,40152.84,1356.96,6228.00,4079.16,2
CUST0025,Peter Callahan Jr.,South,28,Postpaid,2023-03-06,71307.70,1926.30,7210.00,7644.72,2
CUST0026,Jennifer Brown,West,35,Prepaid,2024-02-13,22755.24,209.10,1230.00,1676.14,0
CUST0027,Julie King,East,67,Prepaid,2024-11-06,17857.08,397.08,1580.00,2098.08,1
CUST0028,Alexandra Le,South,70,Prepaid,2025-05-25,6219.72,104.34,1290.00,1089.96,0
CUST0029,Nicole Mack,East,43,Postpaid,2023-12-11,62139.24,1438.32,10968.00,6287.60,2
